experiment_id,timestamp_utc,experiment_type,status,reason,model_id,backend,method,device,precision,load_time_s,ttft_ms_mean,ttft_ms_p50,ttft_ms_p95,e2e_ms_mean,e2e_ms_p50,e2e_ms_p95,e2e_ms_p99,tokens_per_sec_mean,peak_rss_mb,peak_gpu_allocated_mb,model_weight_mb,perplexity,acceptance_rate_mean,speedup_over_baseline
2026-08-25T163334Z_fp32_36b9cfc8,2026-08-25T16:37:43Z,quantization,measured,,gpt2,transformers,fp32,mps,fp32,246.9174552500001,2.159972333629412,2.1583750003628666,2.3467000002710847,165.00859700014794,159.50545800023974,174.78854520009008,176.14704184007678,145.78804101731802,760.734,,474.7,,,
2026-08-25T163743Z_fp16_ace03c39,2026-08-25T16:37:47Z,quantization,measured,,gpt2,transformers,fp16,mps,fp16,2.6813597079999454,2.426735999961238,1.9549999997252598,3.2342744002107793,113.85988899989268,116.08016699983636,118.3004661000723,118.49782602009327,211.20125340065806,1063.859,,237.35,,,
2026-08-25T163747Z_bf16_44fc1e19,2026-08-25T16:37:47Z,quantization,unsupported,bf16 requires CUDA,gpt2,transformers,bf16,mps,bf16,,,,,,,,,,,,,,,
2026-08-25T163747Z_dynamic_int8_02171506,2026-08-25T16:37:50Z,quantization,unsupported,RuntimeError: Didn't find engine for operation quantized::linear_prepack NoQEngine,gpt2,transformers,dynamic_int8,mps,dynamic_int8,,,,,,,,,,,,,,,
2026-08-25T163750Z_int8_bnb_41abf26c,2026-08-25T16:37:50Z,quantization,unsupported,bitsandbytes LLM.int8() requires CUDA,gpt2,transformers,int8_bnb,mps,int8_bnb,,,,,,,,,,,,,,,
2026-08-25T163750Z_int4_bnb_e9979466,2026-08-25T16:37:50Z,quantization,unsupported,bitsandbytes NF4/INT4 requires CUDA,gpt2,transformers,int4_bnb,mps,int4_bnb,,,,,,,,,,,,,,,
2026-08-25T163750Z_awq_0b7f22f8,2026-08-25T16:37:50Z,quantization,unsupported,AWQ requires CUDA and autoawq (or an AWQ checkpoint loadable by transformers),gpt2,transformers,awq,mps,awq,,,,,,,,,,,,,,,
2026-08-25T163750Z_gptq_e37f7330,2026-08-25T16:37:50Z,quantization,unsupported,GPTQ load/quantize requires CUDA plus auto-gptq or a pre-quantized GPTQ checkpoint,gpt2,transformers,gptq,mps,gptq,,,,,,,,,,,,,,,
2026-08-25T163750Z_gguf_q4_k_m_3cdf7b7d,2026-08-25T16:37:50Z,quantization,unsupported,llama_cpp not available: No module named 'llama_cpp',gpt2,llama.cpp,gguf_q4_k_m,mps,gguf_q4_k_m,,,,,,,,,,,,,,,
2026-08-25T163750Z_smooth_quant_e933a439,2026-08-25T16:37:50Z,quantization,unsupported,SmoothQuant is not wired: needs a dedicated calibration toolkit not bundled here,gpt2,transformers,smooth_quant,mps,smooth_quant,,,,,,,,,,,,,,,
