budget,strategy,hv_mean,hv_std,hv_ci95_low,hv_ci95_high,hv_vs_grid_mean,hv_vs_grid_std,hv_vs_grid_ci95_low,hv_vs_grid_ci95_high,n_seeds
2,grid,35888.12073834055,0.0,35888.12073834055,35888.12073834055,1.0,0.0,1.0,1.0,5
2,random,21934.63650663112,16105.709495631487,1939.9628161363034,41929.31019712593,0.6111949039225555,0.44877550465954574,0.05405584845973199,1.168333959385379,5
2,heuristic,6739.893594595186,0.0,6739.893594595186,6739.893594595186,0.18780291238250096,0.0,0.18780291238250096,0.18780291238250096,5
2,inferlite,11818.764773299567,10945.967613409426,-1770.2702652505614,25407.799811849694,0.32932247579832624,0.3050025297567466,-0.049327471843888526,0.707972423440541,5
4,grid,35888.12073834055,0.0,35888.12073834055,35888.12073834055,1.0,0.0,1.0,1.0,5
4,random,34349.46814423801,797.3102357445063,33359.635439374746,35339.30084910127,0.9571264094511711,0.022216550193800234,0.9295453412732045,0.9847074776291377,5
4,heuristic,6739.893594595186,0.0,6739.893594595186,6739.893594595186,0.18780291238250096,0.0,0.18780291238250096,0.18780291238250096,5
4,inferlite,17600.709667270923,14459.615143778172,-350.3955956423015,35551.81493018415,0.49043274780524976,0.4029081168446487,-0.009763553745180176,0.9906290493556797,5
8,grid,35888.12073834055,0.0,35888.12073834055,35888.12073834055,1.0,0.0,1.0,1.0,5
8,random,34710.16217642218,762.4754489059162,33763.57563814999,35656.74871469437,0.9671769226784861,0.021245900682989427,0.9408008818382947,0.9935529635186775,5
8,heuristic,6739.893594595186,0.0,6739.893594595186,6739.893594595186,0.18780291238250096,0.0,0.18780291238250096,0.18780291238250096,5
8,inferlite,34830.98542517757,1147.1880950450352,33406.79162432282,36255.17922603232,0.9705435868077202,0.03196567754018545,0.9308593188228204,1.0102278547926202,5
16,grid,35888.12073834055,0.0,35888.12073834055,35888.12073834055,1.0,0.0,1.0,1.0,5
16,random,35522.0563797448,400.8506431686072,35024.41435963043,36019.69839985917,0.9897998459918054,0.011169452033757897,0.9759333628805088,1.003666329103102,5
16,heuristic,6739.893594595186,0.0,6739.893594595186,6739.893594595186,0.18780291238250096,0.0,0.18780291238250096,0.18780291238250096,5
16,inferlite,35697.41366327465,180.74447609127608,35473.02573290842,35921.801593640885,0.9946860668337487,0.00503633158752112,0.9884336377360471,1.0009384959314505,5
