budget,strategy,hv_mean,hv_std,hv_ci95_low,hv_ci95_high,hv_vs_grid_mean,hv_vs_grid_std,hv_vs_grid_ci95_low,hv_vs_grid_ci95_high,n_seeds
2,grid,62165.2196940524,0.0,62165.2196940524,62165.2196940524,1.0,0.0,1.0,1.0,5
2,random,19276.10516419156,22549.716275700965,-8718.577024021011,47270.78735240413,0.31007861403948,0.3627384635119111,-0.1402484712018987,0.7604056992808588,5
2,heuristic,11022.84133313454,0.0,11022.84133313454,11022.84133313454,0.17731524777654956,0.0,0.17731524777654956,0.17731524777654956,5
2,inferlite,29903.26229185977,15184.384645404032,11052.38110229381,48754.14348142573,0.48102882027972205,0.24425852140689502,0.17779042938621253,0.7842672111732316,5
4,grid,62165.2196940524,0.0,62165.2196940524,62165.2196940524,1.0,0.0,1.0,1.0,5
4,random,37747.23271634752,24532.236610501302,7291.321037446865,68203.14439524818,0.6072082251477823,0.39462961333101193,0.1172893954743709,1.0971270548211938,5
4,heuristic,11022.84133313454,0.0,11022.84133313454,11022.84133313454,0.17731524777654956,0.0,0.17731524777654956,0.17731524777654956,5
4,inferlite,53746.14071344155,1947.6061184269104,51328.25599832733,56164.02542855577,0.8645693038318605,0.03132951396314693,0.8256748106246636,0.9034637970390573,5
8,grid,62165.2196940524,0.0,62165.2196940524,62165.2196940524,1.0,0.0,1.0,1.0,5
8,random,49703.568924606414,23536.173845318368,20484.234247823348,78922.90360138948,0.7995398257936465,0.3786067830396515,0.32951277818428043,1.2695668734030126,5
8,heuristic,11022.84133313454,0.0,11022.84133313454,11022.84133313454,0.17731524777654956,0.0,0.17731524777654956,0.17731524777654956,5
8,inferlite,57299.15282082979,1317.2585850580556,55663.82246910684,58934.48317255274,0.9217236439093908,0.021189639344008974,0.8954174495490834,0.9480298382696981,5
16,grid,62165.2196940524,0.0,62165.2196940524,62165.2196940524,1.0,0.0,1.0,1.0,5
16,random,60459.610397030265,914.2342810377505,59324.62058916293,61594.6002048976,0.9725632869083978,0.014706523769033144,0.9543056532435734,0.9908209205732221,5
16,heuristic,11022.84133313454,0.0,11022.84133313454,11022.84133313454,0.17731524777654956,0.0,0.17731524777654956,0.17731524777654956,5
16,inferlite,60345.05131846125,2016.0193778393705,57842.23394027955,62847.86869664295,0.9707204706337539,0.03243002096286732,0.9304597365689604,1.0109812046985474,5
